ESNERR_StCode,Region,Date,AvgOfTime,AvgOfDD_LAT,AvgOfDD_LONG,Temp C,Sal (PSU),AvgOfpH,DO SAT %,DO mg/L,Turb (NTU),Chl (ug/L),Floating Algae % Cover,Ammonia as N mg/L,Umol Ammonia,Nitrate as N (mg/L),Umol Nitrate,Nitrite as N (mg/L),MLML Nitrate mg/L,MCCL Phosphate (mg/L),Umol Phosphate,total Nitrogen,Free Ammonia (mg/L),Lab Chl a (ug/L)
BSW,Lower Slough,2/25/1990,0.64,36.8209,-121.7909,16.00,24.50,8.32,,9.60,3.50,,,0.04,2.55,0.04,3.15,0.00,,0.14,4.66,,0.00,0.00
CC,Upper Slough,2/25/1990,0.53,36.8601,-121.7401,17.90,4.80,6.91,,9.30,25.00,,,0.41,29.57,0.23,16.25,0.00,,0.00,0.01,,0.00,0.00
HLE,Upper Slough,2/25/1990,0.51,36.8563,-121.7549,16.00,21.10,8.00,,8.60,7.00,,,0.14,10.29,0.22,15.61,0.00,,0.06,1.96,,0.00,0.00
HLW,Upper Slough,2/25/1990,0.52,36.8565,-121.755,17.50,22.00,8.01,,8.30,10.00,,,0.14,9.76,0.59,41.84,0.00,,0.11,3.63,,0.00,0.00
JR,Lower Slough,2/25/1990,0.65,36.8171,-121.7871,15.50,25.00,8.29,,9.10,3.00,,,0.04,2.64,0.08,5.87,0.00,,0.10,3.20,,0.00,0.00
KP,Upper Slough,2/25/1990,0.50,36.8398,-121.7437,15.00,23.10,7.91,,7.80,2.20,,,0.06,4.10,0.06,4.51,0.00,,0.07,2.10,,0.00,0.00
MCS,Lower Slough,2/25/1990,0.61,36.7963,-121.7832,19.00,17.00,8.78,,6.30,8.50,,,0.00,0.31,0.15,10.86,0.00,,0.02,0.58,,0.00,0.00
PRN,Tembladero Slough,2/25/1990,0.60,36.7908,-121.7904,14.50,17.00,8.23,,7.10,15.00,,,0.32,22.53,4.44,317.46,0.00,,0.27,8.60,,0.01,0.00
PRS,Tembladero Slough,2/25/1990,0.59,36.7904,-121.7907,17.60,5.00,8.54,,8.60,15.00,,,0.05,3.39,1.81,129.33,0.00,,0.32,10.41,,0.00,0.00
RBR,Reserve,2/25/1990,0.47,36.8199,-121.7371,14.10,24.20,7.95,,7.10,3.50,,,0.08,5.55,0.07,4.95,0.00,,0.08,2.42,,0.00,0.00
RNM,Reserve,2/25/1990,0.49,36.8364,-121.7323,18.30,22.20,7.32,,8.10,27.00,,,0.18,12.66,0.64,45.39,0.00,,0.04,1.27,,0.00,0.00
RSM,Reserve,2/25/1990,0.46,36.824,-121.74,14.70,23.20,7.86,,8.10,6.20,,,0.08,5.53,0.06,4.10,0.00,,0.06,1.80,,0.00,0.00
SKL,Lower Slough,2/25/1990,0.42,36.8106,-121.7864,12.00,25.00,8.10,,7.50,1.00,,,0.02,1.76,0.04,2.70,0.00,,0.04,1.31,,0.00,0.00
